make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions
ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221
ACURA,ILX,COMPACT,1.5,4,AV7,Z,6.0,5.8,5.9,48,136
ACURA,MDX,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255
ACURA,RDX,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232
ACURA,TL,MID-SIZE,3.7,6,AS6,Z,12.8,9.0,11.1,25,255
ACURA,TL,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212
ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225
ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
ASTON MARTIN,VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
ASTON MARTIN,VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202
AUDI,A4,COMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
