make,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_comb,co2_emissions
ACURA,COMPACT,2.0,4,AS5,Z,8.5,196
ACURA,COMPACT,2.4,4,M6,Z,9.6,221
ACURA,COMPACT,1.5,4,AV7,Z,5.9,136
ACURA,SUV - SMALL,3.5,6,AS6,Z,11.1,255
ACURA,SUV - SMALL,3.5,6,AS6,Z,10.6,244
ACURA,MID-SIZE,3.5,6,AS6,Z,10.0,230
ACURA,MID-SIZE,3.5,6,AS6,Z,10.1,232
ACURA,MID-SIZE,3.7,6,AS6,Z,11.1,255
ACURA,MID-SIZE,3.7,6,M6,Z,11.6,267
ACURA,COMPACT,2.4,4,AS5,Z,9.2,212
ACURA,COMPACT,2.4,4,M6,Z,9.8,225
ACURA,COMPACT,3.5,6,AS5,Z,10.4,239
ALFA ROMEO,TWO-SEATER,1.8,4,AM6,Z,8.4,193
ASTON MARTIN,MINICOMPACT,5.9,12,A6,Z,15.6,359
ASTON MARTIN,SUBCOMPACT,5.9,12,A6,Z,15.6,359
ASTON MARTIN,TWO-SEATER,4.7,8,AM7,Z,14.7,338
ASTON MARTIN,TWO-SEATER,4.7,8,M6,Z,15.4,354
ASTON MARTIN,TWO-SEATER,4.7,8,AM7,Z,14.7,338
ASTON MARTIN,TWO-SEATER,4.7,8,M6,Z,15.4,354
ASTON MARTIN,MINICOMPACT,5.9,12,A6,Z,15.6,359
AUDI,COMPACT,2.0,4,AV8,Z,8.8,202
AUDI,COMPACT,2.0,4,AS8,Z,10.0,230
AUDI,COMPACT,2.0,4,M6,Z,9.3,214
AUDI,SUBCOMPACT,2.0,4,AS8,Z,10.0,230
AUDI,SUBCOMPACT,2.0,4,AS8,Z,10.0,230
AUDI,SUBCOMPACT,2.0,4,M6,Z,9.3,214
AUDI,MID-SIZE,2.0,4,AS8,Z,10.2,235
AUDI,MID-SIZE,3.0,6,AS8,Z,10.9,251
AUDI,MID-SIZE,3.0,6,AS8,D,8.1,217
AUDI,MID-SIZE,3.0,6,AS8,Z,11.2,262
AUDI,MID-SIZE,3.0,6,AS8,D,8.1,217
