make,model,vehicle_class,engine_size,cylinders,fuel_type,fuel_consumption_comb,co2_emissions
309.6182266009852,232.524456486643,0,2.0,4,3,8.5,196
309.6182266009852,232.524456486643,0,2.4,4,3,9.6,221
309.6182266009852,232.524456486643,0,1.5,4,3,5.9,136
309.6182266009852,247.76965104813178,3,3.5,6,3,11.1,255
309.6182266009852,248.61106906434256,3,3.5,6,3,10.6,244
309.6182266009852,238.78796655108385,0,3.5,6,3,10.0,230
309.6182266009852,250.70464054627985,0,3.5,6,3,10.1,232
309.6182266009852,250.70464054627985,0,3.7,6,3,11.1,255
309.6182266009852,250.70464054627985,0,3.7,6,3,11.6,267
309.6182266009852,246.68854365410792,0,2.4,4,3,9.2,212
309.6182266009852,246.68854365410792,0,2.4,4,3,9.8,225
309.6182266009852,246.68854365410792,0,3.5,6,3,10.4,239
309.6182266009852,235.96212164269048,5,1.8,4,3,8.4,193
309.6182266009852,267.64433128377414,0,5.9,12,3,15.6,359
309.6182266009852,267.3863965470214,0,5.9,12,3,15.6,359
309.6182266009852,307.82011949773903,5,4.7,8,3,14.7,338
309.6182266009852,307.82011949773903,5,4.7,8,3,15.4,354
309.6182266009852,307.82011949773903,5,4.7,8,3,14.7,338
309.6182266009852,307.82011949773903,5,4.7,8,3,15.4,354
309.6182266009852,269.6612818285977,0,5.9,12,3,15.6,359
250.8461538461531,225.6156594741119,0,2.0,4,3,8.8,202
250.8461538461531,225.6156594741119,0,2.0,4,3,10.0,230
250.8461538461531,225.6156594741119,0,2.0,4,3,9.3,214
250.8461538461531,230.39650156957305,0,2.0,4,3,10.0,230
250.8461538461531,230.39650156957305,0,2.0,4,3,10.0,230
250.8461538461531,230.39650156957305,0,2.0,4,3,9.3,214
250.8461538461531,240.95150230055154,0,2.0,4,3,10.2,235
250.8461538461531,240.95150230055154,0,3.0,6,3,10.9,251
250.8461538461531,240.95150230055154,0,3.0,6,0,8.1,217
250.8461538461531,245.5095421013253,0,3.0,6,3,11.2,262
250.8461538461531,245.5095421013253,0,3.0,6,0,8.1,217
250.8461538461531,259.6207147817812,0,3.0,6,3,11.2,258
250.8461538461531,259.6207147817812,0,4.0,8,3,11.3,265
250.8461538461531,259.6207147817812,0,3.0,6,0,8.4,224
250.8461538461531,259.6207147817812,0,3.0,6,3,11.2,258
250.8461538461531,259.6207147817812,0,4.0,8,3,12.5,288
250.8461538461531,259.6207147817812,0,6.3,12,3,15.5,363
250.8461538461531,259.6207147817812,0,3.0,6,0,8.4,224
250.8461538461531,249.47218442532207,3,2.0,4,3,10.5,242
250.8461538461531,250.7605411988349,3,2.0,4,3,10.4,239
250.8461538461531,250.7605411988349,3,3.0,6,3,11.2,258
250.8461538461531,250.7605411988349,3,3.0,6,0,9.0,244
250.8461538461531,250.7605411988349,3,2.0,4,3,9.2,212
250.8461538461531,257.9083456197563,6,3.0,6,3,13.2,304
250.8461538461531,257.9083456197563,6,3.0,6,0,10.7,290
250.8461538461531,311.3916534066115,5,4.2,8,3,14.6,336
250.8461538461531,311.3916534066115,5,4.2,8,3,17.7,407
250.8461538461531,311.3916534066115,5,5.2,10,3,14.8,347
250.8461538461531,311.3916534066115,5,5.2,10,3,17.8,409
250.8461538461531,311.3916534066115,5,4.2,8,3,14.6,336
250.8461538461531,311.3916534066115,5,4.2,8,3,17.7,407
250.8461538461531,311.3916534066115,5,5.2,10,3,14.8,347
250.8461538461531,311.3916534066115,5,5.2,10,3,17.8,409
