engine_size,cylinders,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,make_col_0,make_col_1,make_col_2,make_col_3,vehicle_class_DT,vehicle_class_SDV,vehicle_class_SV,vehicle_class_UDV,transmission_AM,transmission_AS,transmission_AV,transmission_M,fuel_type_E,fuel_type_X,fuel_type_Z,co2_emissions
2.0,4,9.9,6.7,8.5,33,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,196
2.4,4,11.2,7.7,9.6,29,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,221
1.5,4,6.0,5.8,5.9,48,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,136
3.5,6,12.7,9.1,11.1,25,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,255
3.5,6,12.1,8.7,10.6,27,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,244
3.5,6,11.9,7.7,10.0,28,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,230
3.5,6,11.8,8.1,10.1,28,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,232
3.7,6,12.8,9.0,11.1,25,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,255
3.7,6,13.4,9.5,11.6,24,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,267
2.4,4,10.6,7.5,9.2,31,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,212
2.4,4,11.2,8.1,9.8,29,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,225
3.5,6,12.1,8.3,10.4,27,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,239
1.8,4,9.7,6.9,8.4,34,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,193
5.9,12,18.0,12.6,15.6,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,359
5.9,12,18.0,12.6,15.6,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,359
4.7,8,17.4,11.3,14.7,19,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,338
4.7,8,18.1,12.2,15.4,18,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,354
4.7,8,17.4,11.3,14.7,19,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,338
4.7,8,18.1,12.2,15.4,18,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,354
5.9,12,18.0,12.6,15.6,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,359
2.0,4,9.9,7.4,8.8,32,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,202
2.0,4,11.5,8.1,10.0,28,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,230
2.0,4,10.8,7.5,9.3,30,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,214
2.0,4,11.5,8.1,10.0,28,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,230
2.0,4,11.5,8.1,10.0,28,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,230
2.0,4,10.8,7.5,9.3,30,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,214
2.0,4,12.0,8.1,10.2,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,235
3.0,6,12.8,8.6,10.9,26,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,251
3.0,6,9.8,6.2,8.1,35,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,217
3.0,6,13.3,8.5,11.2,25,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,262
3.0,6,9.8,6.2,8.1,35,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,217
3.0,6,13.1,8.8,11.2,25,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,258
4.0,8,13.7,8.3,11.3,25,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,265
3.0,6,9.8,6.5,8.4,34,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,224
3.0,6,13.1,8.8,11.2,25,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,258
4.0,8,14.7,9.7,12.5,23,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,288
6.3,12,18.7,11.5,15.5,18,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,363
3.0,6,9.8,6.5,8.4,34,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,224
2.0,4,11.8,8.8,10.5,27,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,242
2.0,4,12.0,8.5,10.4,27,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,239
3.0,6,12.9,9.2,11.2,25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,258
3.0,6,10.2,7.8,9.0,31,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,244
2.0,4,9.9,8.3,9.2,31,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,212
3.0,6,15.1,10.9,13.2,21,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,304
3.0,6,12.4,8.7,10.7,26,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,290
4.2,8,17.6,11.0,14.6,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,336
4.2,8,21.2,13.4,17.7,16,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,407
5.2,10,18.2,10.6,14.8,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,347
5.2,10,21.1,13.8,17.8,16,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,409
4.2,8,17.6,11.0,14.6,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,336
4.2,8,21.2,13.4,17.7,16,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,407
5.2,10,18.2,10.6,14.8,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,347
5.2,10,21.1,13.8,17.8,16,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,409
4.2,8,15.3,10.9,13.3,21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,306
4.2,8,15.2,11.3,13.4,21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,308
4.0,8,15.5,8.8,12.5,23,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,293
