make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_comb,co2_emissions
0,1057,0,2.0,4,14,3,8.5,196
0,1057,0,2.4,4,25,3,9.6,221
0,1058,0,1.5,4,22,3,5.9,136
0,1233,3,3.5,6,15,3,11.1,255
0,1499,3,3.5,6,15,3,10.6,244
0,1510,0,3.5,6,15,3,10.0,230
0,1778,0,3.5,6,15,3,10.1,232
0,1779,0,3.7,6,15,3,11.1,255
0,1779,0,3.7,6,25,3,11.6,267
0,1803,0,2.4,4,14,3,9.2,212
0,1803,0,2.4,4,25,3,9.8,225
0,1803,0,3.5,6,14,3,10.4,239
1,113,5,1.8,4,8,3,8.4,193
2,708,0,5.9,12,3,3,15.6,359
2,1484,0,5.9,12,3,3,15.6,359
2,1866,5,4.7,8,9,3,14.7,338
2,1866,5,4.7,8,25,3,15.4,354
2,1867,5,4.7,8,9,3,14.7,338
2,1867,5,4.7,8,25,3,15.4,354
2,1872,0,5.9,12,3,3,15.6,359
3,234,0,2.0,4,23,3,8.8,202
3,236,0,2.0,4,17,3,10.0,230
3,236,0,2.0,4,25,3,9.3,214
3,240,0,2.0,4,17,3,10.0,230
3,242,0,2.0,4,17,3,10.0,230
3,242,0,2.0,4,25,3,9.3,214
3,246,0,2.0,4,17,3,10.2,235
3,246,0,3.0,6,17,3,10.9,251
3,247,0,3.0,6,17,0,8.1,217
3,250,0,3.0,6,17,3,11.2,262
3,251,0,3.0,6,17,0,8.1,217
3,253,0,3.0,6,17,3,11.2,258
3,253,0,4.0,8,17,3,11.3,265
3,256,0,3.0,6,17,0,8.4,224
3,257,0,3.0,6,17,3,11.2,258
3,257,0,4.0,8,17,3,12.5,288
3,257,0,6.3,12,17,3,15.5,363
3,259,0,3.0,6,17,0,8.4,224
3,272,3,2.0,4,17,3,10.5,242
3,1409,3,2.0,4,17,3,10.4,239
3,1409,3,3.0,6,17,3,11.2,258
3,1414,3,3.0,6,17,0,9.0,244
3,1410,3,2.0,4,17,3,9.2,212
