make,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions
ACURA,UDV,2.0,4,AS,Z,9.9,6.7,8.5,33,196
ACURA,UDV,2.4,4,M,Z,11.2,7.7,9.6,29,221
ACURA,UDV,1.5,4,AV,Z,6.0,5.8,5.9,48,136
ACURA,UDV,3.5,6,AS,Z,12.7,9.1,11.1,25,255
ACURA,UDV,3.5,6,AS,Z,12.1,8.7,10.6,27,244
ACURA,SDV,3.5,6,AS,Z,11.9,7.7,10.0,28,230
ACURA,SDV,3.5,6,AS,Z,11.8,8.1,10.1,28,232
ACURA,SDV,3.7,6,AS,Z,12.8,9.0,11.1,25,255
ACURA,SDV,3.7,6,M,Z,13.4,9.5,11.6,24,267
ACURA,UDV,2.4,4,AS,Z,10.6,7.5,9.2,31,212
ACURA,UDV,2.4,4,M,Z,11.2,8.1,9.8,29,225
ACURA,UDV,3.5,6,AS,Z,12.1,8.3,10.4,27,239
ALFA ROMEO,UDV,1.8,4,AM,Z,9.7,6.9,8.4,34,193
ASTON MARTIN,UDV,5.9,12,A,Z,18.0,12.6,15.6,18,359
ASTON MARTIN,UDV,5.9,12,A,Z,18.0,12.6,15.6,18,359
ASTON MARTIN,UDV,4.7,8,AM,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,UDV,4.7,8,M,Z,18.1,12.2,15.4,18,354
ASTON MARTIN,UDV,4.7,8,AM,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,UDV,4.7,8,M,Z,18.1,12.2,15.4,18,354
ASTON MARTIN,UDV,5.9,12,A,Z,18.0,12.6,15.6,18,359
AUDI,UDV,2.0,4,AV,Z,9.9,7.4,8.8,32,202
AUDI,UDV,2.0,4,AS,Z,11.5,8.1,10.0,28,230
AUDI,UDV,2.0,4,M,Z,10.8,7.5,9.3,30,214
AUDI,UDV,2.0,4,AS,Z,11.5,8.1,10.0,28,230
AUDI,UDV,2.0,4,AS,Z,11.5,8.1,10.0,28,230
AUDI,UDV,2.0,4,M,Z,10.8,7.5,9.3,30,214
