make,model,vehicle_class,engine_size,cylinders,fuel_type,fuel_consumption_comb,co2_emissions
others,ILX,cluster0,2.0,4,Z,8.5,196
others,ILX,cluster0,2.4,4,Z,9.6,221
others,ILX,cluster0,1.5,4,Z,5.9,136
others,MDX,cluster3,3.5,6,Z,11.1,255
others,RDX,cluster3,3.5,6,Z,10.6,244
others,RLX,cluster0,3.5,6,Z,10.0,230
others,TL,cluster0,3.5,6,Z,10.1,232
others,TL,cluster0,3.7,6,Z,11.1,255
others,TL,cluster0,3.7,6,Z,11.6,267
others,TSX,cluster0,2.4,4,Z,9.2,212
others,TSX,cluster0,2.4,4,Z,9.8,225
others,TSX,cluster0,3.5,6,Z,10.4,239
others,4C,cluster5,1.8,4,Z,8.4,193
others,DB9,cluster0,5.9,12,Z,15.6,359
others,RAPIDE,cluster0,5.9,12,Z,15.6,359
others,VANTAGE,cluster5,4.7,8,Z,14.7,338
others,VANTAGE,cluster5,4.7,8,Z,15.4,354
others,VANTAGE,cluster5,4.7,8,Z,14.7,338
others,VANTAGE,cluster5,4.7,8,Z,15.4,354
others,VANQUISH,cluster0,5.9,12,Z,15.6,359
AUDI,A4,cluster0,2.0,4,Z,8.8,202
AUDI,A4,cluster0,2.0,4,Z,10.0,230
AUDI,A4,cluster0,2.0,4,Z,9.3,214
AUDI,A5,cluster0,2.0,4,Z,10.0,230
AUDI,A5,cluster0,2.0,4,Z,10.0,230
AUDI,A5,cluster0,2.0,4,Z,9.3,214
AUDI,A6,cluster0,2.0,4,Z,10.2,235
AUDI,A6,cluster0,3.0,6,Z,10.9,251
AUDI,A6,cluster0,3.0,6,D,8.1,217
AUDI,A7,cluster0,3.0,6,Z,11.2,262
AUDI,A7,cluster0,3.0,6,D,8.1,217
AUDI,A8,cluster0,3.0,6,Z,11.2,258
AUDI,A8,cluster0,4.0,8,Z,11.3,265
AUDI,A8,cluster0,3.0,6,D,8.4,224
AUDI,A8,cluster0,3.0,6,Z,11.2,258
AUDI,A8,cluster0,4.0,8,Z,12.5,288
AUDI,A8,cluster0,6.3,12,Z,15.5,363
AUDI,A8,cluster0,3.0,6,D,8.4,224
AUDI,ALLROAD,cluster3,2.0,4,Z,10.5,242
AUDI,Q5,cluster3,2.0,4,Z,10.4,239
AUDI,Q5,cluster3,3.0,6,Z,11.2,258
AUDI,Q5,cluster3,3.0,6,D,9.0,244
AUDI,Q5,cluster3,2.0,4,Z,9.2,212
AUDI,Q7,cluster6,3.0,6,Z,13.2,304
AUDI,Q7,cluster6,3.0,6,D,10.7,290
AUDI,R8,cluster5,4.2,8,Z,14.6,336
AUDI,R8,cluster5,4.2,8,Z,17.7,407
AUDI,R8,cluster5,5.2,10,Z,14.8,347
AUDI,R8,cluster5,5.2,10,Z,17.8,409
AUDI,R8,cluster5,4.2,8,Z,14.6,336
AUDI,R8,cluster5,4.2,8,Z,17.7,407
AUDI,R8,cluster5,5.2,10,Z,14.8,347
AUDI,R8,cluster5,5.2,10,Z,17.8,409
AUDI,RS,cluster0,4.2,8,Z,13.3,306
AUDI,RS,cluster0,4.2,8,Z,13.4,308
